INDEX,DATE,RATE
RPI,1986-02-01,0.051
RPI,1986-03-01,0.042
RPI,1986-04-01,0.03
RPI,1986-05-01,0.028
RPI,1986-06-01,0.025
RPI,1986-07-01,0.024
RPI,1986-08-01,0.024
RPI,1986-09-01,0.03
RPI,1986-10-01,0.03
RPI,1986-11-01,0.035
RPI,1986-12-01,0.037
RPI,1987-01-01,0.039
RPI,1987-02-01,0.039
RPI,1987-03-01,0.04
RPI,1987-04-01,0.042
RPI,1987-05-01,0.041
RPI,1987-06-01,0.042
RPI,1987-07-01,0.044
RPI,1987-08-01,0.044
RPI,1987-09-01,0.042
RPI,1987-10-01,0.045
RPI,1987-11-01,0.041
RPI,1987-12-01,0.037
RPI,1988-01-01,0.033
RPI,1988-02-01,0.033
RPI,1988-03-01,0.035
RPI,1988-04-01,0.039
RPI,1988-05-01,0.042
RPI,1988-06-01,0.046
RPI,1988-07-01,0.048
RPI,1988-08-01,0.057
RPI,1988-09-01,0.059
RPI,1988-10-01,0.064
RPI,1988-11-01,0.064
RPI,1988-12-01,0.068
RPI,1989-01-01,0.075
RPI,1989-02-01,0.078
RPI,1989-03-01,0.079
RPI,1989-04-01,0.08
RPI,1989-05-01,0.083
RPI,1989-06-01,0.083
RPI,1989-07-01,0.082
RPI,1989-08-01,0.073
RPI,1989-09-01,0.076
RPI,1989-10-01,0.073
RPI,1989-11-01,0.077
RPI,1989-12-01,0.077
RPI,1990-01-01,0.077
RPI,1990-02-01,0.075
RPI,1990-03-01,0.081
RPI,1990-04-01,0.094
RPI,1990-05-01,0.097
RPI,1990-06-01,0.098
RPI,1990-07-01,0.098
RPI,1990-08-01,0.106
RPI,1990-09-01,0.109
RPI,1990-10-01,0.109
RPI,1990-11-01,0.097
RPI,1990-12-01,0.093
RPI,1991-01-01,0.09
RPI,1991-02-01,0.089
RPI,1991-03-01,0.082
RPI,1991-04-01,0.064
RPI,1991-05-01,0.058
RPI,1991-06-01,0.058
RPI,1991-07-01,0.055
RPI,1991-08-01,0.047
RPI,1991-09-01,0.041
RPI,1991-10-01,0.037
RPI,1991-11-01,0.043
RPI,1991-12-01,0.045
RPI,1992-01-01,0.041
RPI,1992-02-01,0.041
RPI,1992-03-01,0.04
RPI,1992-04-01,0.043
RPI,1992-05-01,0.043
RPI,1992-06-01,0.039
RPI,1992-07-01,0.037
RPI,1992-08-01,0.036
RPI,1992-09-01,0.036
RPI,1992-10-01,0.036
RPI,1992-11-01,0.03
RPI,1992-12-01,0.026
RPI,1993-01-01,0.017
